unit,duration,partner,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N1-3,WORLD,T,HR	958771 	752541 	767760 	799160 b	1044893 	1115937 	1252108 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,HU	3722791 	3776284 	3572737 	3362673 	3331117 	3085293 	3296927 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,IE	1892211 	1866111 	1766274 	1683506 	1693883 	1558586 	1670101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,IT	10513926 	9841982 	11263009 	10156932 	9207873 b	9795305 	11788635 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,LT	741761 	747404 	755791 	760204 	758073 	756336 	705242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,LU	: c	328703 	252348 	270807 	221069 	250057 	207700 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,LV	: 	769073 	828852 	784997 	752748 	736221 	655401 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,ME	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,MK	220521 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,MT	102412 	102975 	99512 	81801 	87579 	85515 	85100 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,NL	7866236 	7806309 	7804466 	7460235 	7716141 	7618271 	8053928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,NO	3422258 	3252539 	3131483 	3152995 	3194378 	3181800 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,PL	14377384 	13763180 	13408325 	12379398 	11585800 	10100000 	10810000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,PT	2875301 	2660677 	2730658 	2624702 	2474601 	2602737 	2223751 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,RO	2655574 	2750546 	2400261 	2618004 	2492287 	2489783 	2055174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,SE	5521076 	5647239 b	3572375 	3370545 	3174420 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,SI	665230 	625437 	664749 	538088 	581164 e	559414 e	639494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,SK	2396195 	2097906 	1516980 	1358427 	1203789 	1245513 b	634090 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N1-3,WORLD,T,UK	: 	: 	12241150 	12131100 	13463400 	11769700 	4583000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,AT	: 	662971 	654769 	646733 	691522 	668575 	699049 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,BE	339985 	318960 b	193040 	278459 	246259 	261421 	253310 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,BG	857316 	886634 	771807 	772535 	714012 	592943 	498268 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,CH	300747 	272431 	296102 	336763 	332051 	387145 	399062 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,CY	84991 e	87810 e	87808 e	94704 e	79782 e	103182 e	102344 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,CZ	1593397 	1752286 	1828681 	1855532 	2008768 	1646021 	1634645 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,DE	6660561 	6685440 	7960690 	8766999 	8054372 	8176592 	8922101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,DK	655601 e	638703 e	582941 	532166 	519278 	488208 	496947 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EA	43526831 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EE	92261 	120967 	134157 	135969 	150493 	125469 	125118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EL	1683526 	1610517 	1444283 	1510708 	1596669 	1338710 	1593417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,ES	8605768 	8545945 	8928282 	8504760 b	8293983 	8616244 	8284602 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EU25	62420916 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EU27	65249753 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,EU28	65739032 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,FI	645012 	656800 	633893 	622675 	710942 	735699 	771796 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOM,F,FR	13100700 	13319292 	11783037 	13268199 	13243783 	13499923 	13794503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
