unit,purpose,duration,partner,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,TOTAL,N_GE1,WORLD,M,CY	860010.74 	776804.29 	706933.36 	636264.06 	664554.1 	578669.48 	437470.11 b	: 	: 	: 	768055 	646475 	418432 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,CZ	2776355.95 	2560752.89 	2271138.95 	1984890.93 	1842496.74 	2040368.75 	1972988.77 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,DE	92194379.89 	71252387.45 	67775725.24 	66512396.8 	61582436.42 	69295805.71 	67225885.63 	68962260 	69163000 	63782480 	64021300 	63088000 	53942483 	50789971 	52458000 	77549000 	: u	54170352 	57361217 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,DK	8172325.3 	8577779.43 	5975405.07 	5750012.7 	6205483.62 b	5293010.76 b	4845824.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,EE	1137719.73 	553095.33 	548891.34 	498787.23 	469200.41 	320152.45 	212761.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,EL	1138379.58 	922086.69 	855512.52 	830839.03 	889699.23 	861307.53 	733016.45 	1381672 	1672137 	2415866 	2798356 	2565145 	: 	: 	: 	: 	: 	: 	: 	448448 	850498 	1041062 	1216970 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,ES	20481814.82 	18897939.01 	18649574.42 	16223820.83 b	12079984.68 	12702480.75 	12458359.11 	14683129 	15217757 	15873680 	16238004 	15135765 	14083278 	14120008 	8903163 	7667425 	7190433 	7508570 	6847063 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,FI	8144757.25 	7489326.37 	7500298.29 	7183399.92 	7037338.97 	7634130.96 	8111589.38 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,FR	54324896.18 	39412969.61 	35439755.55 	35136187.3 	40058838.93 	38732562.88 	37561913.09 b	38305073 	34913715 	34585487 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,HR	948266.05 	928114.23 	712718.77 	1220703.64 	1122220.66 	1349277.69 	1043641.29 	1135271 	1119029 	1055394 	1203401 	1435306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,HU	1494970.15 	1511905.62 	1399564.75 	1305178.64 	1225350.03 	1019300.64 	1052493.87 	1067807 	1086210 	1118674 	1439860 	1351658 	1052766 	775489 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,IE	4015402.1 	3707940.1 	3603393.41 	3268860.93 	2968227.51 	2892168.15 	2867900.87 	2615600 	2842200 	2875000 	3662000 	3956000 	: 	2650300 	2202000 	2159800 	2106200 	1945600 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,IT	13835260.59 	11918732.7 	10872848.87 	10089071.35 	9307581.01 b	11128046.96 	14927178 	: u	: u	: u	: u	20859937 	20017057 	19724951 	17412047 	16711779 	17378285 	15428650 	15361279 	14907892 	14800647 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,LT	600848.12 	558962.81 	530794.76 	482286.34 	468850.3 	466287.92 	426047.92 	: 	354292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,LU	1153492.55 	1072398.65 	710030.45 	736251.98 	884527.05 	740746.39 	705371.2 	668170 	562390 	638550 	559980 	587020 	1165318 	1020292 	1155801 	1100502 	1123674 	845987 	680508 	590254 	581455 	570764 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,LV	320219.95 	323177.17 	227610.25 	265446.98 	266669.74 	276403.98 	256719.58 	237860 	213206 	226740 	312049 	327754 	281032 	224573 	: 	170528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,MT	342258.34 	282915.14 	242190.15 	212561.54 	185578.14 b	211082.55 	192415.6 	165221 	144447 	137481 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,NL	11216786.4 	11276817.65 	8407966.34 	7619225.21 	7695113.38 	8052637.17 	8121635.08 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,NO	9416279.91 	10894452.94 	8932163.43 	10094648.54 	10615000.67 	8857022.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,PL	: 	6025155.19 	5295683.36 	4762235.73 	4302211.19 b	6869575.09 	9083741.64 	2087075 e	2345608 	2216009 	2901398 e	2331052 	2312687 e	2107880 e	2164885 e	1916092 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,PT	1560676.98 	1340697.08 	1163432.84 	1261251.91 	1114998.4 	780882.46 	791465.12 	677036 	1179792 	1421580 	: u	: u	1244753 	1070354 	1135633 	988806 	1174645 	969385 	981493 	956486 	731254 	875882 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,RO	: 	1229086.07 	1139196.12 	1040481.51 	976546.28 	989814.16 	991189.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,SE	: 	: 	5707480.18 	5892958.02 	5301958.33 	: 	: 	11012204 	9751922 	7683702 	9366420 	9763029 	9599542 	: 	: 	: 	: 	: 	: 	: 	: 	9349941 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,SI	790469.69 	605309.35 	583020.2 	602325.29 	538357.67 	538568.27 	586756.07 	615652 	711959 	671510 	620207 	569819 	522743 	474548 	446627 	391043 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,SK	1413786.19 	1388741.77 	1223902.14 	1221109.32 	792404.48 	903502.93 b	1199403.93 	1139500 	1021143 	1186729 	1381137 	1313909 	1025791 	1038256 	914521 	830576 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,M,UK	: 	: 	: 	: 	: 	34765320.62 	: u	30332720 	30259509 	31232181 	38337017 	42933337 	: 	: 	59328677 	57634543 	62004258 	60822771 	62245561 	34791836 	29576278 	28460041 	20678350 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,AT	15464412.12 	14808029.38 	14556378.77 	13455007.91 	13654733.23 	13683565.68 	12696610.95 	11970390 	12499841 	12373297 	12007008 	12133198 	12246171 	8568612 	13578269 	14577397 	12408185 	12181360 	13684308 	: 	: 	11483543 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,BE	9739771.07 	8660548.08 b	9912538.26 	8117519.49 	8071661.68 	9277311.68 	6986821.99 	6559626 	5848614 	6485698 	6929501 	6727327 	6116413 	7343012 	7245818 	5979592 	5140398 	4972793 	5753526 	4185755 	4266337 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,BG	848318.57 	833743.81 	585072.76 	507322.68 	582695.42 	546299.38 	495291.31 b	1303141 	1150679 	1624600 	1146973 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,CH	16643168.01 	16773118.3 	16930898.77 	15818265.93 	13321937.52 	14561551.12 	13908139.91 	: u	: u	: u	10050397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,CY	1673979.8 	1679033.62 	1415360.18 	1215471.85 	1338269.02 	1213572.73 	887872.5 b	: 	: 	: 	1675211 	1393808 	902738 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,CZ	5417693.87 	5003415.1 	4393860.6 	3915265.46 	3606171.01 	3971539.29 	4021645.64 	3980621 	3864900 	4353967 	5551933 	4950100 	4225563 	3835012 	3650887 	3741571 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,DE	166842881.06 	128906460.24 	120092108.31 	114495446.75 	111385940.48 	120785493.63 	116185659.75 	118934370 	120839000 	112503450 	112603200 	107479000 	95189627 	90033528 	102528000 	140523000 	111807000 	96487936 	106056299 	97482347 	63379868 	53646189 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,DK	15062783 	16394393.58 	12244282.28 	11139683.45 	11895290.37 b	10198120.38 b	8506395.39 	10448510 	10010250 	7972768 	8618912 	: 	8155056 	6150844 	4967809 	6571584 	5315913 	5559354 	5558049 	5175670 	5252050 	5111437 	5543881 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,EE	2108996.34 	1105460.75 	1007512.09 	936575.52 	856646.63 	656026.95 	532632.84 	502111 	492535 	343294 	244348 	206324 	235560 	229234 	150707 	169015 	132468 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,EL	2294115.65 	1905866.16 	1804559.64 	1706122.56 	1823813.15 	1705841.75 	1459330.43 	2812522 	3262891 	4771938 	5526156 	5097108 	: 	: 	: 	: 	: 	: 	: 	880792 	1639164 	1991823 	2368904 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,ES	40695352.53 	38064187.38 	36038090.44 	31374102.59 b	24347206 	25067969.68 	24461408.13 	28105322 	28646735 	29792549 	30168332 	28192459 	26392079 	25707238 	15710844 	15571079 	14451393 	15043207 	13725394 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,FI	14552801.54 	13792729.12 	13430797.27 	13253544.8 	13091505.35 	13429712.3 	14347990.79 b	11375000 	10775000 	9600000 	9374000 	8669000 	8263000 	7990000 	7237000 	6890000 	7209000 	7103080 	7181456 	4365318 	4282818 	3476275 	3440768 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,FR	113636606.06 	82126199.28 	71177880.5 	70390959.91 	79586393.41 	76763673.01 	74986668.63 b	76208077 	69848182 	68734455 	113343000 	90462000 	83455000 	89153000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,HR	1650987.43 	1569964.34 	1211129.52 	1957027.27 	1875131.22 	2198744.96 	1842421.29 	2045040 	2046880 	1910421 	2040592 	2252437 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,HU	3062743.66 	3000947.67 	2749095.52 	2554847.55 	2398365.57 	2029539.53 	2076546.08 	2160583 	2204799 	2219352 	2913534 	2725379 	2180134 	2386563 	1571394 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,IE	8066619.76 	7515724.52 	7125661.8 	6535210.65 	6235443.56 	5949861.83 	5861797.64 	5448600 	5940500 	5774000 	7446000 	7735300 	6341300 	5150900 	4329000 	4183900 	4011100 	3652100 	2638515 	3461547 	3500181 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,IT	26829423.58 	23397920.73 	20920926.61 	18676522.59 	17576835.69 b	22167877.98 	27689581.34 	29112465 	34741017 	38877635 	41567007 	37079712 	36133899 	35088953 	31695437 	29877867 	30240985 	27412287 	27807597 	26717870 	26800558 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,LT	1205978.46 	1098946.34 	1048712.23 	974141.6 	923037.81 	925670.51 	854228.82 	771573 	737947 	633842 	1042874 	964610 	837725 	718248 	562223 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,LU	2102886.36 	1851921.7 	1303732.12 	1342996.79 	1476323.65 	1277567.14 	1219069.32 	1127520 	1036900 	1101820 	976910 	978470 	2244392 	2244536 	2166879 	2020228 	1992520 	1444312 	1250163 	1107828 	1098633 	1040790 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,LV	643025.3 	653645.88 	537344.47 	560417 	592975.83 	604959.32 	596857.91 	688638 	680644 	671711 	881695 	674074 	556503 	460181 	: 	313578 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,MT	605973.05 	510705.06 	461354.87 	385777.15 	348174.29 b	366212.66 	334210.43 	279341 	242984 	228958 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,NL	21566507.88 	21360120.21 	16062014.63 	14940665.13 	14855608.06 	15101673.93 	15668470.62 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,NO	17218646.13 	19249007.21 	17455206.63 	17609568.18 	18252922.54 	15806146.14 	: 	15843534 	13916145 	11206261 	13133626 	12037173 	1154899 	11487414 	9726633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,PL	: 	12512569.85 	10939430.1 	10063889.05 	9120319.57 b	13802410.59 	15489342.86 	4081930 e	4576063 	4203254 	5740155 	4921109 	4258322 e	3765846 e	3644959 e	3407143 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,PT	3163662.62 	2717228.57 	2312874.94 	2550848.92 	2163599.55 	1625038.33 	1598904.38 	1444178 	2309609 	2828457 	: u	: u	2367791 	2201499 	2363832 	1843452 	2159113 	1865533 	1801871 	1756436 	1315150 	1613431 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,RO	: 	2424755.78 	2167535.25 	1976695.25 	1868296.81 	1868395.56 	1737565.67 	1215419 	1082511 	1373899 	1457239 	1460434 	856930 	769089 	62 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,SE	: 	: 	10040691.9 	10700700.13 	9674129.95 	: 	: 	18996767 	17156428 	13603883 	16196335 	16055610 	15670384 	: 	: 	: 	: 	: 	: 	: 	: 	14276146 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,SI	1391248.32 	1186481.76 	1151198.64 	1104883.11 	1035944.83 	1000319.91 	1036224.77 	1124379 	1236185 	1235676 	1094372 	1033331 	929076 	838942 	764878 	657471 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,SK	3096449.72 	2736816.37 	2315696.48 	2263040.42 	1817972.72 	1774526.52 b	2419841 	2301899 	2005161 	2469925 	2670614 	2473336 	1907809 	1770855 	1697363 	1548732 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE1,WORLD,T,UK	: 	: 	: 	: 	: 	61213106.16 	: u	53963485 	53359719 	55984690 	67129653 	75439109 	: 	: 	104368166 	99401150 	109251134 	107366283 	108390951 	62828907 	54286006 	50951605 	36952659 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,AT	1011273.62 	1053601.79 	1105915.6 	952240.84 	869325.68 	1025704.36 	970242.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,BE	224104.07 	125284.13 b	219223.77 	150658.11 	133662.49 	163860.79 	206514.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,BG	185279.54 	163719.6 	123337.09 	102129.18 	107184.83 	109125.69 	91498.86 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,CH	570091.31 	607043.68 	675894.25 	651301.38 	599989.05 	595634.57 	587035.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,CY	33091.16 	39049.97 	30278.9 	24632.53 	55576.34 	47143.22 	15500.32 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,CZ	558775.08 	580235.81 	539707.73 	476909.54 	386735.37 	435525.63 	454705.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,DE	13854082.99 	11135466.21 	10527882.28 	9343743.98 	10537097.51 	9389001.63 	10342553.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,DK	1233171.3 	1134113.56 	649780.11 	576747.12 	720753.28 b	497648.78 b	522441.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,EE	21853.33 	20738.51 	15618.98 	19273.58 	12792.47 	9728.25 	16308.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,EL	761204.93 	637585.16 	599470.72 	570994.33 	615662.49 	545468.08 	453993.82 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,ES	7075387.9 	7024315.41 	6732660.74 	5894210.53 b	5304393.5 	5553544.65 	5285381.88 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,FI	891629.01 	734962.47 	771446.15 	838189.45 	746840.14 	823174.4 	818133.01 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,FR	22933753.73 	18940078.22 	16877169.43 	16973068.01 	18533501.6 	18032923.51 	18027601.26 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,HR	177078.75 	175334.27 	156454.09 	175204.1 	180818.14 	216745.71 	250280.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,HU	197960.05 	191656.83 	186894.5 	192352.64 	212833.54 	207919.41 	205931.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,IE	237096.7 	226970.18 	243009.44 	227214.36 	231331.49 	221977.44 	211403.56 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,IT	5310640.68 	5183537.66 	4593180.83 	4097539.95 	3572244.45 b	4598430.35 	5320791.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,LT	27455.53 	24410.78 	22020.78 	21537.74 	18468.37 	21277.89 	13995.86 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,LU	: c	: c	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,LV	12665.78 	15308.34 	11423.29 	13608.31 	19267.63 	13478.22 	13251.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,MT	5171.77 	5699.57 	4434.87 	3185.94 	3145.13 b	: u	2153.59 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,NL	1010424.87 	960442.91 	919854.11 	848766.92 	806077.22 	715987.16 	762442.57 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,NO	1106878.87 	1142734.58 	1075375.02 	993073.85 	937061.41 	895779.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,PL	: 	2154708.43 	1944194.08 	1692249.95 	1518139.97 b	2373844.99 	2620772.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,PT	590205.69 	536178.15 	444251.77 	495116.08 	413626.01 	361401.01 	318230.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,RO	: 	516661.84 	463472.09 	419091.06 	402046.56 	419343.5 	404536.93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,SE	: 	: 	542152.71 	554487.74 	497657.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,SI	46444.59 	56219.37 	51529.17 	38818.54 	47902.22 	42826.1 	44277.51 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,SK	262517.77 	153300.55 	199451.24 	178946.33 	191508.26 	139559.35 b	249753.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,F,UK	: 	: 	: 	: 	: 	4220488.46 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,M,AT	1092278.34 	1036435.01 	1051228.92 	879600.44 	792590.92 	935509.27 	913095.67 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,M,BE	207536.38 	121984.17 b	167137.28 	122176.53 	119869.86 	159348.89 	151716.75 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,M,BG	172848.92 	181288.42 	112671.67 	93311.92 	105629.47 	115215.8 	107991.92 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,M,CH	691967.2 	774546.56 	640623.09 	481711.13 	661137.07 	725025.58 	546279.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,M,CY	24718.02 	28288.18 	27267.61 	21198.76 	26777.13 	40340.42 	13400.58 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,M,CZ	525928.66 	601274.93 	493323.16 	426216.74 	361417.24 	431148.32 	413586.87 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,TOTAL,N_GE4,DOM,M,DE	13856910.3 	10252645.92 	11262572.82 	13890939.87 	11208798.55 	11707130.91 	10354904.91 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
