unit,landcover,geo\time	2015 	2012 	2009 
CVA,LCA1,FR8	9.5 	10.1 	11.4 
CVA,LCA1,HR	15.2 	: 	: 
CVA,LCA1,HR0	15.2 	: 	: 
CVA,LCA1,HU	9.3 	9.8 	9.3 
CVA,LCA1,HU1	24.3 	25 	22.1 
CVA,LCA1,HU2	14.9 	15.9 	15.1 
CVA,LCA1,HU3	13.8 	14.4 	13.8 
CVA,LCA1,IE	12.9 	13.3 	13.2 
CVA,LCA1,IE0	12.9 	13.3 	13.2 
CVA,LCA1,IT	3.5 	3.7 	4.1 
CVA,LCA1,ITC	6.9 	7.1 	7.7 
CVA,LCA1,ITF	7.1 	7.6 	8.4 
CVA,LCA1,ITG	9.4 	10.5 	11.5 
CVA,LCA1,ITH	7.9 	8.4 	9.3 
CVA,LCA1,ITI	8.8 	9.7 	10.7 
CVA,LCA1,LT	10.9 	13.3 	13.6 
CVA,LCA1,LT0	10.9 	13.3 	13.6 
CVA,LCA1,LU	35.7 	40.4 	44.4 
CVA,LCA1,LU0	35.7 	40.4 	44.4 
CVA,LCA1,LV	15.7 	18.9 	20.6 
CVA,LCA1,LV0	15.7 	18.9 	20.6 
CVA,LCA1,MT	25.1 	28.8 	: 
CVA,LCA1,MT0	25.1 	28.8 	: 
CVA,LCA1,NL	8.8 	9.6 	9.9 
CVA,LCA1,NL1	33.2 	35.5 	35.3 
CVA,LCA1,NL2	16.5 	18.2 	18.8 
CVA,LCA1,NL3	13.3 	14.2 	15 
CVA,LCA1,NL4	18.8 	20.9 	21.7 
CVA,LCA1,PL	5.5 	5.8 	6.5 
CVA,LCA1,PL1	12.5 	12.9 	14.1 
CVA,LCA1,PL2	12.6 	13.8 	15.1 
CVA,LCA1,PL3	12.6 	13 	14.3 
CVA,LCA1,PL4	12.7 	13.5 	15.2 
CVA,LCA1,PL5	16.9 	18.6 	20.7 
CVA,LCA1,PL6	15 	16.2 	18.1 
CVA,LCA1,PT	7.1 	7.5 	9 
CVA,LCA1,PT1	7.1 	7.5 	9 
CVA,LCA1,RO	7.3 	7.7 	: 
CVA,LCA1,RO1	16.4 	16.4 	: 
CVA,LCA1,RO2	13.7 	14.8 	: 
CVA,LCA1,RO3	15.4 	16.3 	: 
CVA,LCA1,RO4	13.9 	14.5 	: 
CVA,LCA1,SE	9.6 	10.6 	10.6 
CVA,LCA1,SE1	18.1 	21.3 	21 
CVA,LCA1,SE2	13.8 	17 	16.2 
CVA,LCA1,SE3	17.6 	18.3 	18.9 
CVA,LCA1,SI	25.7 	25.7 	30.9 
