age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADULT,M,P_HTHAB,RO	285.14 	331.59 	341.40 	362.01 	401.40 	383.92 	343.55 	315.33 	315.13 	310.27 
ADULT,M,P_HTHAB,RS	364.65 	356.25 	335.04 	340.78 	329.75 	341.35 	361.91 	375.33 	366.60 	318.51 
ADULT,M,P_HTHAB,SE	135.45 	136.29 	138.84 	143.38 	142.61 	158.31 	169.30 	175.75 	: 	: 
ADULT,M,P_HTHAB,SI	: 	142.93 	160.25 	170.69 	153.74 	159.33 	144.69 	154.60 	157.12 	148.32 
ADULT,M,P_HTHAB,SK	432.34 	433.42 	432.01 	438.78 	428.33 	477.28 	475.11 	447.68 	418.12 	: 
ADULT,M,P_HTHAB,TR	: 	684.29 	621.82 	566.16 	526.21 	499.27 	479.40 	461.09 	450.28 	: 
ADULT,M,P_HTHAB,UKC-L	: 	353.68 	360.51 	360.38 	355.00 	368.38 	367.96 	369.31 	360.49 	362.29 
ADULT,M,P_HTHAB,UKM	: 	: 	338.61 	329.68 	337.43 	340.08 	344.43 	333.17 	330.47 	328.33 
ADULT,M,P_HTHAB,UKN	198.93 	204.36 	205.02 	243.01 	261.12 	243.16 	243.78 	212.09 	223.12 	226.59 
ADULT,M,P_HTHAB,XK	: 	265.94 	: 	: 	: 	: 	149.51 	: 	: 	: 
ADULT,T,NR,AL	5634 	5972 	5892 	5602 	4891 	4521 	4538 	4557 	4579 	4832 
ADULT,T,NR,AT	8710 	8503 	8555 	8612 	8759 	8681 	8624 	8382 	7913 	7249 
ADULT,T,NR,BA	2361 	2214 	2298 	2537 	2521 	: 	2231 	2221 	: 	: 
ADULT,T,NR,BE	: 	: 	10870 	: 	11727 	11078 	10936 	10434 	10060 	9739 
ADULT,T,NR,BG	6958 	7318 	7362 	7807 	8756 	9418 	9796 	9306 	8948 	9333 
ADULT,T,NR,CH	6527 	6522 	6479 	6494 	6622 	6049 	5599 	5724 	5551 	5241 
ADULT,T,NR,CY	571 	571 	523 	509 	516 	652 	606 	622 	550 	624 
ADULT,T,NR,CZ	22085 	22396 	20768 	18551 	16532 	22472 	22965 	21692 	21688 	20289 
ADULT,T,NR,DE	: 	: 	63020 	63228 	66221 	68533 	69543 	70827 	72295 	73793 
ADULT,T,NR,DK	3409 	3392 	3197 	3574 	4079 	3822 	3938 	3926 	3701 	3442 
ADULT,T,NR,EE	2703 	2835 	2799 	3001 	3090 	3250 	3371 	3350 	3520 	3414 
ADULT,T,NR,EL	9998 	9538 	9598 	11767 	12241 	11875 	11892 	11781 	10854 	11784 
ADULT,T,NR,ES	56873 	57711 	59726 	62973 	64438 	65895 	68265 	71603 	: 	: 
ADULT,T,NR,FI	2984 	3063 	3046 	3047 	3213 	3219 	3197 	3291 	3487 	3437 
ADULT,T,NR,FR	68202 	67674 	65970 	65566 	66344 	65848 	64075 	59856 	60309 	61577 
ADULT,T,NR,HR	3063 	3063 	3290 	3693 	4269 	4673 	5029 	5126 	4827 	4484 
ADULT,T,NR,HU	17106 	17351 	17097 	17466 	17363 	16665 	16686 	15767 	14920 	14212 
ADULT,T,NR,IE	: 	: 	3150 	3204 	3710 	3691 	3697 	3698 	3813 	3424 
ADULT,T,NR,IS	131 	124 	146 	154 	147 	152 	148 	167 	146 	138 
ADULT,T,NR,IT	57608 	54653 	52164 	53623 	62536 	65701 	66897 	67961 	64791 	58127 
ADULT,T,NR,LI	73 	72 	53 	53 	68 	60 	71 	75 	149 	78 
ADULT,T,NR,LT	6548 	6757 	7270 	8552 	9172 	9617 	9790 	8981 	8467 	7800 
ADULT,T,NR,LU	682 	717 	689 	622 	652 	665 	630 	674 	697 	757 
ADULT,T,NR,LV	3724 	4200 	4367 	4707 	5090 	6062 	6493 	6692 	6906 	6349 
ADULT,T,NR,ME	1107 	1119 	1126 	1118 	1062 	1322 	1319 	1450 	1490 	1207 
ADULT,T,NR,MK	2751 	3213 	: 	: 	: 	: 	2212 	2157 	2215 	: 
ADULT,T,NR,MT	: 	537 	555 	567 	602 	553 	556 	550 	465 	601 
ADULT,T,NR,NL	10454 	10180 	10439 	11473 	12248 	12928 	13420 	13713 	13690 	13817 
ADULT,T,NR,NO	: 	4116 	3989 	4045 	3828 	3968 	3808 	3491 	3254 	3414 
