age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
TOTAL,T,P_HTHAB,MT	128.40 	122.78 	129.41 	136.58 	145.95 	140.10 	140.73 	141.05 	120.22 	162.32 
TOTAL,T,P_HTHAB,NL	63.66 	62.44 	64.20 	70.91 	75.81 	80.53 	83.87 	86.68 	87.13 	89.06 
TOTAL,T,P_HTHAB,NO	: 	80.45 	78.51 	80.33 	76.59 	81.27 	78.57 	73.36 	69.59 	73.40 
TOTAL,T,P_HTHAB,PL	196.14 	190.19 	191.27 	208.70 	210.61 	224.52 	217.62 	216.64 	224.85 	222.95 
TOTAL,T,P_HTHAB,PT	131.79 	134.58 	138.54 	136.16 	138.60 	131.61 	122.53 	111.97 	106.85 	102.40 
TOTAL,T,P_HTHAB,RO	119.37 	138.94 	142.59 	151.18 	167.00 	158.33 	143.34 	131.60 	130.70 	127.02 
TOTAL,T,P_HTHAB,RS	153.50 	150.81 	141.46 	143.95 	139.68 	141.70 	152.66 	153.44 	149.63 	131.71 
TOTAL,T,P_HTHAB,SE	57.16 	57.44 	58.39 	60.21 	59.89 	66.39 	70.83 	73.29 	78.71 	77.02 
TOTAL,T,P_HTHAB,SI	: 	63.37 	67.82 	73.84 	66.06 	66.99 	62.09 	66.00 	67.16 	65.56 
TOTAL,T,P_HTHAB,SK	184.50 	184.20 	182.85 	185.01 	180.25 	200.77 	195.18 	186.09 	173.08 	151.90 
TOTAL,T,P_HTHAB,TR	: 	254.92 	229.43 	207.91 	192.35 	182.03 	174.44 	166.50 	162.67 	: 
TOTAL,T,P_HTHAB,UKC-L	: 	143.78 	146.42 	146.35 	144.27 	150.59 	150.95 	151.46 	148.69 	149.54 
TOTAL,T,P_HTHAB,UKM	137.34 	140.64 	144.57 	144.84 	148.38 	151.84 	154.87 	149.68 	152.66 	150.93 
TOTAL,T,P_HTHAB,UKN	75.59 	75.70 	78.34 	93.02 	98.32 	92.47 	92.45 	81.43 	85.38 	87.16 
TOTAL,T,P_HTHAB,XK	: 	93.02 	: 	: 	: 	: 	80.32 	: 	: 	: 
