isco08,ind_type,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
OC264_265,SELF,PC,LV	37 	51 	49 	34 	43 	38 u	31 u	25 u
OC264_265,SELF,PC,ME	: u	: u	: u	: u	: u	: u	: u	: u
OC264_265,SELF,PC,MK	13 u	: u	: u	19 u	25 u	33 	29 	18 u
OC264_265,SELF,PC,MT	50 	53 b	62 	67 	56 u	43 u	: u	: u
OC264_265,SELF,PC,NL	63 	64 	64 	64 	65 	64 b	65 	62 
OC264_265,SELF,PC,NO	37 	38 	44 	44 	42 	37 	35 	35 
OC264_265,SELF,PC,PL	39 	33 	33 	31 	31 	28 	29 	29 
OC264_265,SELF,PC,PT	40 	46 	44 	38 	40 	40 	46 	47 
OC264_265,SELF,PC,RO	: u	23 u	: u	: u	: u	: u	: u	: u
OC264_265,SELF,PC,RS	37 	37 	45 	40 	46 b	46 	: 	: 
OC264_265,SELF,PC,SE	35 	34 	37 	41 	38 	38 	39 	39 
OC264_265,SELF,PC,SI	41 	39 u	35 u	42 u	37 u	37 u	37 u	34 u
OC264_265,SELF,PC,SK	36 	48 	33 	34 	36 	58 	49 	40 
OC264_265,SELF,PC,TR	43 	40 	36 	29 	28 b	21 	27 b	27 
OC264_265,SELF,PC,UK	65 	60 	61 	62 	65 	60 	60 	61 
OC264_265,Y15_29,PC,AT	20 	18 	11 u	12 u	23 	22 	15 u	17 u
OC264_265,Y15_29,PC,BE	18 b	18 b	20 	18 	17 	18 	19 b	19 
OC264_265,Y15_29,PC,BG	13 u	13 u	17 u	22 u	: u	19 u	23 u	27 u
OC264_265,Y15_29,PC,CH	14 	12 	13 	12 	12 	12 	15 	13 
OC264_265,Y15_29,PC,CY	18 u	14 u	20 u	21 bu	20 u	: u	: u	: u
OC264_265,Y15_29,PC,CZ	13 	17 	15 	16 	17 	19 	16 	17 
OC264_265,Y15_29,PC,DE	13 	14 	13 	13 	13 	12 	13 b	12 
OC264_265,Y15_29,PC,DK	17 	21 b	23 b	21 	19 	17 	18 	20 
OC264_265,Y15_29,PC,EE	34 	26 u	29 u	23 u	29 u	: u	22 u	28 u
OC264_265,Y15_29,PC,EL	13 	16 	13 	20 	13 u	16 	18 	8 u
OC264_265,Y15_29,PC,ES	18 	18 	16 	17 	15 	13 	17 	22 
OC264_265,Y15_29,PC,EU28	16 	17 	16 	17 	17 	16 	17 	17 
OC264_265,Y15_29,PC,FI	17 	19 	18 	17 	17 	18 	18 	17 
OC264_265,Y15_29,PC,FR	13 	15 	13 	13 	15 b	16 b	16 	15 
OC264_265,Y15_29,PC,HR	13 u	17 u	10 u	15 u	27 u	10 u	10 u	11 u
OC264_265,Y15_29,PC,HU	23 	22 	17 	15 	17 u	14 u	25 	18 
OC264_265,Y15_29,PC,IE	19 	18 b	24 	20 	17 	17 u	21 	19 u
OC264_265,Y15_29,PC,IS	20 	: u	: u	15 	23 	20 	: u	: u
OC264_265,Y15_29,PC,IT	13 	12 b	10 	11 	9 	11 	12 	13 
OC264_265,Y15_29,PC,LT	23 u	20 u	14 u	22 u	15 u	: u	: u	: u
OC264_265,Y15_29,PC,LU	: u	: u	: u	: bu	: u	13 u	: u	: u
OC264_265,Y15_29,PC,LV	26 u	25 u	30 	29 	25 u	28 u	: u	34 u
OC264_265,Y15_29,PC,ME	: u	: u	: u	: u	: u	: u	: u	: u
OC264_265,Y15_29,PC,MK	18 u	23 u	36 	30 	23 u	23 u	31 	15 u
OC264_265,Y15_29,PC,MT	: u	: bu	: u	30 u	: u	: u	: u	: u
OC264_265,Y15_29,PC,NL	22 	22 	19 	21 	19 	18 b	17 	20 
OC264_265,Y15_29,PC,NO	18 	17 	19 	17 	18 	22 	20 	20 
OC264_265,Y15_29,PC,PL	17 u	15 u	16 u	21 	25 	23 	21 	23 
OC264_265,Y15_29,PC,PT	17 	19 	: u	: u	: u	: u	: u	: u
OC264_265,Y15_29,PC,RO	21 u	: u	: u	: u	26 u	: u	: u	: u
OC264_265,Y15_29,PC,RS	18 	20 	14 u	16 	13 b	16 u	: 	: 
OC264_265,Y15_29,PC,SE	18 	17 	18 	19 	18 	19 	16 	15 
OC264_265,Y15_29,PC,SI	14 u	7 u	10 u	11 u	12 u	14 u	15 u	23 u
OC264_265,Y15_29,PC,SK	23 u	: u	: u	: u	24 u	: u	23 u	31 
OC264_265,Y15_29,PC,TR	33 	30 	33 	28 	39 b	28 	35 b	41 
OC264_265,Y15_29,PC,UK	18 	20 	20 	19 	20 	17 	20 	17 
TOTAL,EMP_FT,PC,AT	72 	71 	71 	72 	72 	73 	74 	75 
TOTAL,EMP_FT,PC,BE	75 b	75 b	75 	75 	76 	75 	75 b	75 
TOTAL,EMP_FT,PC,BG	98 	98 	98 	98 	97 	97 	98 	98 
TOTAL,EMP_FT,PC,CH	61 	61 	61 	62 	62 	63 	64 	65 
TOTAL,EMP_FT,PC,CY	88 	87 	86 	86 b	86 	87 	89 	90 
TOTAL,EMP_FT,PC,CZ	93 	93 	93 	94 	94 	93 	94 	95 
TOTAL,EMP_FT,PC,DE	72 	72 	72 	72 	72 	72 	73 b	73 
TOTAL,EMP_FT,PC,DK	74 	74 b	73 b	75 	75 	75 	74 	74 
TOTAL,EMP_FT,PC,EE	88 	89 	89 	89 	90 	90 	90 	89 
TOTAL,EMP_FT,PC,EL	91 	90 	90 	91 	91 	92 	92 	93 
TOTAL,EMP_FT,PC,ES	85 	85 	85 	84 	84 	84 	86 	86 
TOTAL,EMP_FT,PC,EU28	80 	80 	80 	80 	80 	80 	80 	81 
TOTAL,EMP_FT,PC,FI	83 	84 	84 	85 	85 	85 	85 	85 
TOTAL,EMP_FT,PC,FR	82 	81 	81 	81 	81 b	82 b	82 	82 
TOTAL,EMP_FT,PC,HR	94 	94 	93 	93 	94 	94 	93 	91 
TOTAL,EMP_FT,PC,HU	95 	95 	95 	94 	94 	93 	93 	93 
TOTAL,EMP_FT,PC,IE	80 	79 b	77 	77 	77 	76 	76 	76 
TOTAL,EMP_FT,PC,IS	78 	76 	75 	76 	76 	79 	79 	79 
TOTAL,EMP_FT,PC,IT	81 	81 b	81 	82 	82 	82 	83 	85 
TOTAL,EMP_FT,PC,LT	92 	91 	92 	92 	91 	91 	91 	91 
TOTAL,EMP_FT,PC,LU	82 	80 	81 	81 b	81 	81 	81 	82 
TOTAL,EMP_FT,PC,LV	92 	92 	91 	92 	93 	92 	91 	91 
TOTAL,EMP_FT,PC,ME	95 	94 	95 	94 	94 	97 	96 	96 
TOTAL,EMP_FT,PC,MK	96 	96 	95 	96 	94 	95 	94 	94 
TOTAL,EMP_FT,PC,MT	86 	85 b	85 	85 	84 	85 	86 	87 
TOTAL,EMP_FT,PC,NL	49 	49 	50 	49 	50 	49 b	50 	51 
TOTAL,EMP_FT,PC,NO	73 	74 	73 	73 	73 	72 	72 	72 
TOTAL,EMP_FT,PC,PL	93 	93 	93 	93 	92 	92 	92 	92 
TOTAL,EMP_FT,PC,PT	90 	89 	88 	88 	87 	86 	85 	86 
TOTAL,EMP_FT,PC,RO	93 	92 	91 	90 	90 	90 	90 	89 
TOTAL,EMP_FT,PC,RS	89 	88 	87 	88 	88 b	89 	92 	91 
TOTAL,EMP_FT,PC,SE	75 	75 	74 	74 	74 	74 	74 	74 
TOTAL,EMP_FT,PC,SI	89 	89 	90 	89 	89 	90 	90 	90 
TOTAL,EMP_FT,PC,SK	95 	94 	94 	94 	95 	95 	96 	96 
TOTAL,EMP_FT,PC,TR	89 	90 	90 	89 	88 b	88 	88 b	88 
TOTAL,EMP_FT,PC,UK	74 	74 	73 	73 	73 	73 	73 	73 
TOTAL,EMP_JOB1,PC,AT	96 	95 	95 	96 	96 	96 	96 	96 
TOTAL,EMP_JOB1,PC,BE	96 b	96 b	96 	96 	96 	96 	96 b	96 
TOTAL,EMP_JOB1,PC,BG	100 	100 	100 	100 	99 	100 	100 	100 
TOTAL,EMP_JOB1,PC,CH	92 	92 	92 	93 	93 	93 	93 	94 
TOTAL,EMP_JOB1,PC,CY	97 	97 	96 	97 b	96 	97 	97 	97 
TOTAL,EMP_JOB1,PC,CZ	97 	97 	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,DE	95 	95 	95 	95 	95 	95 	95 b	96 
TOTAL,EMP_JOB1,PC,DK	93 	92 b	91 b	93 	92 	92 	92 	92 
TOTAL,EMP_JOB1,PC,EE	94 	95 	95 	95 	95 	95 	95 	95 
TOTAL,EMP_JOB1,PC,EL	98 	98 	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,ES	98 	98 	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,EU28	96 	96 	96 	96 	96 	96 	96 	96 
TOTAL,EMP_JOB1,PC,FI	94 	94 	94 	94 	95 	95 	95 	95 
TOTAL,EMP_JOB1,PC,FR	95 	95 	95 	95 	95 b	95 b	97 	97 
TOTAL,EMP_JOB1,PC,HR	99 	99 	99 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,HU	99 	99 	99 	99 	98 	97 	98 	98 
TOTAL,EMP_JOB1,PC,IE	98 	97 b	98 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,IS	90 	88 	88 	89 	90 	90 	91 	91 
TOTAL,EMP_JOB1,PC,IT	99 	99 b	99 	99 	99 	99 	99 	99 
TOTAL,EMP_JOB1,PC,LT	95 	95 	95 	95 	94 	94 	94 	95 
TOTAL,EMP_JOB1,PC,LU	96 	96 	96 	96 b	97 	97 	97 	98 
TOTAL,EMP_JOB1,PC,LV	96 	96 	94 	95 	96 	95 	95 	96 
TOTAL,EMP_JOB1,PC,ME	99 	99 	99 	99 	99 	99 	99 	99 
TOTAL,EMP_JOB1,PC,MK	98 	98 	99 	99 	99 	99 	98 	98 
TOTAL,EMP_JOB1,PC,MT	97 	97 b	96 	96 	95 	95 	95 	94 
TOTAL,EMP_JOB1,PC,NL	92 	92 	92 	91 	92 	92 b	93 	93 
TOTAL,EMP_JOB1,PC,NO	91 	92 	91 	91 	91 	91 	91 	92 
TOTAL,EMP_JOB1,PC,PL	95 	95 	95 	94 	94 	93 	93 	93 
TOTAL,EMP_JOB1,PC,PT	96 	96 	96 	96 	96 	96 	95 	95 
TOTAL,EMP_JOB1,PC,RO	99 	99 	99 	98 	98 	98 	98 	98 
TOTAL,EMP_JOB1,PC,RS	93 	93 	93 	95 	95 b	97 	97 	96 
TOTAL,EMP_JOB1,PC,SE	91 	91 	91 	91 	91 	91 	92 	92 
TOTAL,EMP_JOB1,PC,SI	97 	96 	97 	97 	96 	97 	97 	97 
TOTAL,EMP_JOB1,PC,SK	99 	99 	99 	99 	99 	99 	99 	99 
TOTAL,EMP_JOB1,PC,TR	97 	97 	97 	97 	97 b	97 	97 b	97 
TOTAL,EMP_JOB1,PC,UK	97 	97 	96 	96 	96 	96 	96 	96 
TOTAL,I5_8,PC,AT	35 	35 	34 	33 	32 	21 	20 	20 
TOTAL,I5_8,PC,BE	47 b	46 b	44 	43 	43 	41 	41 b	40 
TOTAL,I5_8,PC,BG	32 	31 	33 	32 	32 	30 	29 	28 
TOTAL,I5_8,PC,CH	42 	41 	39 	38 	37 	36 	34 	32 
TOTAL,I5_8,PC,CY	46 	46 	46 	45 b	45 	43 	42 	40 
TOTAL,I5_8,PC,CZ	25 	25 	24 	24 	23 	22 	21 	20 
TOTAL,I5_8,PC,DE	30 	29 	29 	28 	28 	30 	29 b	29 
TOTAL,I5_8,PC,DK	37 	37 b	36 b	36 	35 	34 	34 	32 
TOTAL,I5_8,PC,EE	41 	41 	40 	40 	40 	39 	39 	38 
TOTAL,I5_8,PC,EL	37 	36 	35 	34 	34 	33 	31 	30 
TOTAL,I5_8,PC,ES	43 	43 	42 	42 	42 	41 	40 	38 
TOTAL,I5_8,PC,EU28	35 	35 	34 	33 	33 	32 	31 	30 
TOTAL,I5_8,PC,FI	45 	44 	43 	43 	42 	41 	40 	40 
TOTAL,I5_8,PC,FR	42 	40 	40 	39 	38 b	37 b	35 	34 
TOTAL,I5_8,PC,HR	30 	29 	28 	28 	27 	25 	22 	21 
TOTAL,I5_8,PC,HU	27 	26 	26 	27 	27 	27 	27 	26 
TOTAL,I5_8,PC,IE	49 	50 b	48 	49 	48 	48 	47 	45 
TOTAL,I5_8,PC,IS	39 	38 	36 	34 	33 	32 	32 	30 
TOTAL,I5_8,PC,IT	23 	22 b	21 	21 	20 	20 	19 	18 
TOTAL,I5_8,PC,LT	45 	44 	44 	44 	42 	41 	40 	40 
TOTAL,I5_8,PC,LU	48 	44 	47 	44 b	49 	45 	43 	41 
TOTAL,I5_8,PC,LV	37 	37 	37 	35 	34 	35 	34 	33 
TOTAL,I5_8,PC,ME	29 	30 	32 	31 	31 	31 	28 	26 
TOTAL,I5_8,PC,MK	25 	26 	26 	24 	22 	22 	24 	23 
TOTAL,I5_8,PC,MT	31 	29 b	27 	27 	27 	25 	24 	23 
TOTAL,I5_8,PC,NL	38 	37 	36 	36 	35 	35 b	33 	33 
