unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
PPS,MED_E,DEG3,M,Y_LT18,EA	16876 e	16380 e	16445 e	15488 e	15048 e	14953 e	15116 e	13476 e	13635 e	13622 e	13784 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,EA18	17018 e	16545 e	16609 e	15673 e	15048 e	14856 e	15012 	13343 	13427 	13427 	13333 	12289 e	11607 	11263 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,EA19	16876 e	16380 e	16445 e	15488 e	14910 e	14721 e	14868 	13125 	13210 	13218 	13091 	11975 e	11367 	11008 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,EE	12207 	12151 	11610 	9954 	9298 b	8341 	7905 b	7701 	6989 	7445 	7158 	6213 	5083 	4340 	3816 	: 
PPS,MED_E,DEG3,M,Y_LT18,EL	6762 	6996 	6876 	6789 	6515 	6760 	8002 b	9829 	10572 	10385 	10394 	9134 	9713 	9767 	9138 	8060 
PPS,MED_E,DEG3,M,Y_LT18,ES	12950 	11971 	11911 	10732 	10413 	10113 	10977 b	10752 	11347 	11894 	11751 b	9626 	8781 	8963 	8413 	: 
PPS,MED_E,DEG3,M,Y_LT18,EU	14716 e	14249 e	14131 e	13366 e	12700 e	12616 e	12670 e	10828 e	10789 e	10781 e	10655 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,EU27	14789 e	14323 e	14205 e	13453 e	12792 e	12706 e	12767 	10896 	10850 	10781 	10655 	9332 e	8781 e	8350 e	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,EU28	14716 e	14249 e	14131 e	13366 e	12700 e	12616 e	12669 	10828 	10789 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,FI	18484 	18252 	18553 	18319 	17698 	18088 	17758 b	17077 	16362 	16404 	15693 	13903 	13549 	13327 	12349 	: 
PPS,MED_E,DEG3,M,Y_LT18,FR	18686 	18614 	18565 	18450 	17577 	17557 	17637 b	15401 	15963 	15848 	15972 b	13605 	13893 	12542 	12735 	: 
PPS,MED_E,DEG3,M,Y_LT18,HR	8451 	7944 	8000 	6985 	6379 	6261 	6205 b	6620 	6769 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,HU	7011 	6766 	6250 	6336 	5780 	5491 	5798 b	5361 	5179 	5292 	5405 	5270 	4566 	4386 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,IE	19053 p	18073 	17585 	17192 	15034 	14991 	15261 b	15452 	14197 	13273 	15478 	15363 	13484 	12723 	12732 	12235 
PPS,MED_E,DEG3,M,Y_LT18,IS	: 	: 	19633 	19436 	18390 	17191 	16624 b	16176 	15841 	17399 	18417 	17321 	16229 	15247 	14665 	: 
PPS,MED_E,DEG3,M,Y_LT18,IT	13846 	13801 	13475 	13410 b	11977 	11898 	11582 	12551 	12893 	11977 	12539 	12229 	11009 	10714 	10841 	: 
PPS,MED_E,DEG3,M,Y_LT18,LT	7939 	6814 	7437 	6314 	5975 	5748 	5363 b	4967 	5265 	6017 	5171 	4686 	3532 	2978 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,LU	31752 	26270 	25716 b	27588 	26497 	26484 	23973 b	23625 	23381 	25718 	24862 	25244 	23703 	23550 	25304 	24616 
PPS,MED_E,DEG3,M,Y_LT18,LV	9734 	8234 	8023 	6574 	5728 	4994 	4896 b	5000 	4965 	5960 	5737 	4751 	3703 	3358 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,MK	: 	4330 	3787 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,MT	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,NL	21507 	20121 	20639 b	18083 	17068 	17606 	17102 b	13857 	16550 	16099 	14466 	13587 	13696 	12727 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,NO	24062 	23569 	25193 	26014 	: 	23015 	22737 b	21582 	21373 	21535 	21751 	19214 	18615 	17590 	17707 	: 
PPS,MED_E,DEG3,M,Y_LT18,PL	10001 	9616 	8986 	7909 	7411 	7185 	6713 b	6611 	6032 	5982 	5453 	4475 	3890 	3475 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,PT	9678 	9680 	9764 	8497 	8096 	8219 	7966 b	8422 	8060 	8220 	7853 	7982 	7703 	6752 	6452 	: 
PPS,MED_E,DEG3,M,Y_LT18,RO	3833 	3488 	2720 	2456 	2292 	2449 	2299 b	2517 	2453 	2285 	2067 	1807 	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,RS	3483 	4030 	3540 	3379 	3018 	3252 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,SE	18096 	18282 	19460 	18981 	17980 	19044 	17281 b	17095 	16387 	16777 	16272 b	14743 	13852 	13331 	13226 	: 
PPS,MED_E,DEG3,M,Y_LT18,SI	15833 	15121 	15089 	14788 	13697 	14035 	13895 b	13267 	12124 	13221 	12880 	12075 	11334 	10804 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,SK	9499 	8753 	8542 	8309 	8498 	8459 	8333 b	7649 	7189 	6818 	5932 	4825 	3975 	3469 	: 	: 
PPS,MED_E,DEG3,M,Y_LT18,UK	17890 p	17154 b	17085 	17885 	16568 	16163 	16177 b	14677 	15766 	16373 	17865 	19310 	19033 	18091 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,AT	23729 	23560 	23369 	22654 	21990 	20981 	20866 b	20109 	19466 	19089 	18683 b	17295 	16873 	16373 	16151 	14517 
PPS,MED_E,DEG3,T,TOTAL,BE	21329 	21148 	21500 	20400 	19363 	19376 	18486 b	17696 	16910 	18436 	16249 	15368 	16432 	15202 	14712 	13668 
PPS,MED_E,DEG3,T,TOTAL,BG	5421 	5623 	5120 b	5193 	5253 	4512 	4363 b	4699 	4811 	4883 	4107 	2947 	2770 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,CH	25784 	25411 	26743 	25290 	23921 b	24440 	22835 b	20956 	20434 	20084 	19829 	18717 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,CY	15790 	14684 	14953 	13599 	14465 	15702 	17900 b	17045 	16521 	17375 	16758 b	17260 	15372 	13948 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,CZ	13120 	12574 	12394 	11392 	10634 	10444 	10038 b	9669 	9167 	9055 	9469 	8493 	7952 	7455 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,DE	21655 	21081 	21187 	19846 	18829 	18719 	18560 b	16736 	15806 	16405 	15951 	15862 	14632 	14744 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,DK	21125 	20472 	20842 	20015 	19692 	19730 	19225 b	18017 b	16901 	16781 	16767 	16084 	15760 	15130 	14459 	14994 
PPS,MED_E,DEG3,T,TOTAL,EA	17704 e	17366 e	17221 e	16446 e	15853 e	15881 e	15940 e	14612 e	14545 e	14657 e	14626 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,EA18	17857 e	17528 e	17389 e	16627 e	15853 e	15769 e	15828 e	14467 e	14319 e	14444 e	14131 e	12932 e	12211 e	11870 e	: 	: 
PPS,MED_E,DEG3,T,TOTAL,EA19	17704 e	17366 e	17221 e	16446 e	15704 e	15613 e	15668 e	14227 e	14079 e	14217 e	13901 e	12604 e	11978 e	11629 e	: 	: 
PPS,MED_E,DEG3,T,TOTAL,EE	11998 	11598 	11084 	9744 	8687 b	8026 	7289 b	7069 	6886 	7291 	6972 	6044 	5172 	4399 	3859 	: 
PPS,MED_E,DEG3,T,TOTAL,EL	7970 	8080 	7885 	7645 	7492 	7953 	8822 b	10178 	10954 	11000 	10621 	9800 	9564 	9876 	9251 	8415 
PPS,MED_E,DEG3,T,TOTAL,ES	13792 	13350 	13217 	12363 	12001 	12094 	12113 b	12376 	13107 	13678 	13236 b	10679 	10250 	9599 	9623 	: 
PPS,MED_E,DEG3,T,TOTAL,EU	15457 e	15123 e	14917 e	14230 e	13506 e	13477 e	13545 e	11717 e	11499 e	11616 e	11436 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,EU27	15535 e	15205 e	15005 e	14328 e	13603 e	13573 e	13651 e	11799 e	11574 e	11616 e	11436 e	10025 e	9313 e	8888 e	: 	: 
PPS,MED_E,DEG3,T,TOTAL,EU28	15457 e	15123 e	14917 e	14230 e	13506 e	13477 e	13544 e	11717 e	11499 e	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,FI	19345 	19075 	18927 	18632 	18218 	18303 	17873 b	17304 	16565 	16478 	15834 	14443 	14120 	13626 	12644 	: 
PPS,MED_E,DEG3,T,TOTAL,FR	20092 	20035 	19770 	19371 	18658 	18685 	18433 b	17077 	17082 	16836 	16748 b	14448 	14047 	13152 	12921 	: 
PPS,MED_E,DEG3,T,TOTAL,HR	8745 	8269 	7994 	7295 	6916 	6659 	6626 b	6685 	6726 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,HU	7690 	7356 	7394 	7114 	6758 	6390 	6581 b	6324 	5984 	6102 	5921 	5803 	5295 	5033 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,IE	19334 p	17748 	17105 	16962 	15622 	15354 	15270 b	15366 	15287 	15025 	15965 	15500 	14047 	12901 	12737 	12548 
PPS,MED_E,DEG3,T,TOTAL,IS	: 	: 	21303 	20202 	19796 	18857 	17618 b	17346 	17033 	19730 	19867 	18247 	16971 	16160 	15438 	: 
PPS,MED_E,DEG3,T,TOTAL,IT	15803 	15614 	15415 	14619 b	13160 	13499 	13924 	14534 	14071 	14011 	13948 	13050 	12417 	12312 	11770 	: 
PPS,MED_E,DEG3,T,TOTAL,LT	8919 	8235 	7832 	7022 	6552 	6049 	5659 b	5236 	5285 	6041 	5762 	4859 	3853 	3292 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,LU	33705 	30704 	31537 b	31031 	30011 	30351 	28299 b	26417 	26094 	27795 	26267 	26992 	26942 	27790 	26723 	25862 
PPS,MED_E,DEG3,T,TOTAL,LV	9290 	8025 	7945 	7305 	6421 	5634 	5370 b	5384 	5239 	6213 	5872 	4683 	3569 	3354 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,MK	: 	4838 	4305 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,MT	: u	: u	11527 u	19420 u	13784 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
PPS,MED_E,DEG3,T,TOTAL,NL	21507 	21000 	21298 b	19081 	18052 	18843 	18636 b	17312 	19968 	18152 	17047 	15772 	15190 	15202 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,NO	25499 	25304 	26563 	27380 	: 	25649 	24268 b	23018 	22120 	23017 	22188 	20106 	18860 	18271 	17854 	: 
PPS,MED_E,DEG3,T,TOTAL,PL	10116 	9778 	9438 	8562 	8025 	7755 	7375 b	7266 	6536 	6414 	5938 	4960 	4362 	4071 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,PT	9484 	9637 	9383 	8847 	8727 	8569 	8212 b	8637 	8563 	8443 	8650 	8125 	7702 	7273 	6774 	: 
PPS,MED_E,DEG3,T,TOTAL,RO	4658 	3974 	3419 	3154 	3004 	3092 	2678 b	2956 	2882 	2687 	2434 	2123 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,RS	4381 	4167 	3881 	3599 	3409 	3693 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,SE	19083 	18717 	20425 	19366 	19012 	19519 	18384 b	17528 	16940 	17470 	16949 b	15482 	14661 	14046 	13640 	: 
PPS,MED_E,DEG3,T,TOTAL,SI	15496 	14937 	14960 	14782 	13885 	13816 	13856 b	13505 	12746 	13786 	13306 	12455 	11748 	11216 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,SK	10424 	10090 	9849 	9627 	9164 	9158 	9099 b	8382 	7699 	7177 	6259 	5267 	4286 	3683 	: 	: 
PPS,MED_E,DEG3,T,TOTAL,UK	18667 p	19103 b	18615 	18848 	18324 	17784 	17772 b	16482 	16656 	17124 	18851 	19827 	18937 	17855 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,AT	25345 	25568 	24965 	24170 	23549 	22711 	22689 b	21773 	21107 	20730 	20192 b	18658 	17959 	17525 	17046 	15636 
PPS,MED_E,DEG3,T,Y18-64,BE	22322 	22497 	23183 	21895 	20646 	20680 	19823 b	19069 	17437 	19168 	17290 	17558 	18065 	16118 	15740 	15658 
PPS,MED_E,DEG3,T,Y18-64,BG	5959 	6178 	5422 b	5553 	5544 	5003 	4948 b	5184 	5247 	5481 	4636 	3226 	2980 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,CH	27357 	28295 	29256 	27652 	26795 b	27113 	25307 b	22884 	22351 	22303 	21467 	20609 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,CY	16819 	15503 	15814 	14261 	14919 	16202 	18652 b	18276 	17440 	18401 	17896 b	18592 	16612 	14916 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,CZ	14221 	13540 	13369 	12086 	11290 	11073 	10621 b	10273 	9785 	9675 	10092 	9089 	8528 	7856 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,DE	23081 	22704 	22534 	21229 	20084 	19832 	19877 b	17609 	17079 	17557 	17087 	17102 	15337 	15520 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,DK	23036 	22643 	23151 	21964 	21529 	21383 	20801 b	19703 b	18581 	18550 	18565 	17823 	17166 	16556 	15630 	16301 
PPS,MED_E,DEG3,T,Y18-64,EA	18583 e	18352 e	18040 e	17274 e	16645 e	16587 e	16835 e	15471 e	15459 e	15677 e	15670 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,EA18	18737 e	18518 e	18214 e	17462 e	16645 e	16468 e	16715 e	15314 e	15220 e	15453 e	15120 e	13938 e	13089 e	12666 e	: 	: 
PPS,MED_E,DEG3,T,Y18-64,EA19	18583 e	18352 e	18040 e	17274 e	16486 e	16305 e	16549 e	15063 e	14957 e	15214 e	14884 e	13573 e	12845 e	12418 e	: 	: 
PPS,MED_E,DEG3,T,Y18-64,EE	13490 	13102 	12468 	10965 	9604 b	8862 	7911 b	7636 	7500 	8075 	7724 	6680 	5758 	4765 	4170 	: 
PPS,MED_E,DEG3,T,Y18-64,EL	7970 	8094 	7830 	7572 	7392 	7881 	8772 b	10835 	11506 	11857 	11379 	10553 	10164 	10472 	9926 	9023 
PPS,MED_E,DEG3,T,Y18-64,ES	14291 	14119 	13464 	12595 	12309 	12389 	12612 b	13345 	14104 	14855 	14326 b	11734 	11570 	10450 	10662 	: 
PPS,MED_E,DEG3,T,Y18-64,EU	16185 e	15886 e	15619 e	14947 e	14103 e	14039 e	14263 e	12376 e	12150 e	12360 e	12170 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,EU27	16265 e	15969 e	15709 e	15048 e	14202 e	14137 e	14373 e	12461 e	12226 e	12360 e	12170 e	10735 e	9895 e	9416 e	: 	: 
PPS,MED_E,DEG3,T,Y18-64,EU28	16185 e	15886 e	15619 e	14947 e	14103 e	14039 e	14262 e	12376 e	12150 e	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,FI	21509 	20928 	20951 	20457 	20115 	20113 	19358 b	18678 	17786 	17874 	17257 	15897 	15463 	14718 	13746 	: 
PPS,MED_E,DEG3,T,Y18-64,FR	20715 	20641 	20306 	20107 	19383 	19205 	19074 b	17869 	17675 	17584 	17613 b	15161 	14658 	13843 	13656 	: 
PPS,MED_E,DEG3,T,Y18-64,HR	9539 	9093 	8595 	7856 	7409 	7127 	7143 b	7178 	7328 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,HU	8119 	7678 	7694 	7302 	6880 	6578 	6855 b	6563 	6174 	6317 	6140 	5985 	5501 	5185 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,IE	20354 p	19496 	18205 	18026 	16530 	15836 	16362 b	16156 	16160 	16946 	17350 	17041 	15592 	14324 	14485 	13630 
PPS,MED_E,DEG3,T,Y18-64,IS	: 	: 	22521 	21796 	21140 	20268 	18837 b	18342 	18440 	21285 	21064 	19497 	18373 	17125 	16426 	: 
PPS,MED_E,DEG3,T,Y18-64,IT	16520 	16424 	16107 	15185 b	13405 	14115 	14816 	15253 	15080 	15117 	15076 	14129 	13539 	13350 	12778 	: 
PPS,MED_E,DEG3,T,Y18-64,LT	9988 	9229 	8676 	7721 	7057 	6419 	5979 b	5461 	5320 	6544 	6385 	5299 	4182 	3565 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,LU	34639 	30972 	31619 b	31393 	30539 	31061 	29028 b	27252 	27077 	28432 	27650 	28957 	27667 	29546 	28426 	27317 
PPS,MED_E,DEG3,T,Y18-64,LV	10174 	9184 	8980 	8158 	6998 	6178 	5834 b	5700 	5781 	6933 	6597 	5048 	3894 	3575 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,MK	: 	5065 	4549 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,MT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
PPS,MED_E,DEG3,T,Y18-64,NL	22914 	22348 	22593 b	19948 	19039 	19887 	19961 b	20253 	21205 	19418 	18982 	17764 	16426 	16414 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,NO	27426 	27498 	28315 	28855 	: 	27518 	25820 b	24512 	23962 	24565 	23998 	21447 	20530 	19636 	19065 	: 
PPS,MED_E,DEG3,T,Y18-64,PL	10389 	9893 	9606 	8751 	8200 	8085 	7593 b	7577 	6732 	6644 	6138 	5055 	4447 	4109 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,PT	9978 	9998 	9709 	9392 	9270 	8915 	8783 b	9433 	9226 	9172 	9384 	8915 	8486 	8037 	7605 	: 
PPS,MED_E,DEG3,T,Y18-64,RO	5012 	4201 	3537 	3309 	3066 	3223 	2722 b	3093 	2999 	2863 	2606 	2358 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,RS	4475 	4270 	3972 	3633 	3487 	3802 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,SE	21464 	21098 	22532 	21286 	20688 	21176 	20056 b	19148 	18444 	18993 	18510 b	16783 	15787 	15255 	14719 	: 
PPS,MED_E,DEG3,T,Y18-64,SI	16202 	15477 	15477 	15178 	14256 	14200 	14254 b	14038 	13205 	14399 	13904 	12932 	12249 	11611 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,SK	10924 	10550 	10631 	10384 	9818 	9559 	9692 b	8784 	8155 	7573 	6696 	5613 	4563 	3946 	: 	: 
PPS,MED_E,DEG3,T,Y18-64,UK	19844 p	20120 b	20523 	21282 	20061 	19189 	19083 b	17984 	17937 	18921 	20534 	22528 	21041 	19590 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,AT	24310 	24211 	23969 	23336 	22523 	21777 	21627 b	20735 	19957 	19742 	19158 b	17831 	17318 	17086 	16554 	15025 
PPS,MED_E,DEG3,T,Y_GE18,BE	21187 	21051 	21396 	20465 	19396 	19394 	18480 b	17634 	16540 	18321 	16506 	15967 	17381 	15370 	14804 	13688 
PPS,MED_E,DEG3,T,Y_GE18,BG	5575 	5809 	5274 b	5308 	5401 	4622 	4465 b	4765 	4876 	4883 	4165 	3038 	2830 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,CH	26757 	26488 	27580 	26245 	25251 b	25300 	23934 b	21862 	21167 	21150 	20557 	19827 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,CY	15829 	14538 	14958 	13548 	14445 	15552 	18016 b	17167 	16633 	17580 	16915 b	17646 	15634 	14163 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,CZ	13167 	12641 	12508 	11535 	10737 	10562 	10186 b	9795 	9318 	9230 	9621 	8677 	8173 	7605 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,DE	21966 	21644 	21597 	20371 	19156 	19141 	18844 b	17083 	16318 	16805 	16403 	16226 	14946 	15277 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,DK	21282 	20643 	20822 	20061 	19921 	19731 	19311 b	18297 b	16930 	16976 	17040 	16263 	15950 	15294 	14578 	15138 
PPS,MED_E,DEG3,T,Y_GE18,EA	17915 e	17637 e	17423 e	16711 e	16061 e	16121 e	16140 e	14854 e	14797 e	14951 e	14892 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,EA18	18073 e	17804 e	17594 e	16894 e	16061 e	16005 e	16025 e	14706 e	14568 e	14734 e	14382 e	13108 e	12398 e	12093 e	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,EA19	17915 e	17637 e	17423 e	16711 e	15909 e	15846 e	15863 e	14468 e	14324 e	14501 e	14151 e	12778 e	12170 e	11860 e	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,EE	11926 	11474 	10974 	9586 	8483 b	7934 	7145 b	6958 	6863 	7210 	6846 	5989 	5170 	4420 	3860 	: 
PPS,MED_E,DEG3,T,Y_GE18,EL	8162 	8240 	8080 	7842 	7603 	8223 	8976 b	10212 	11107 	11226 	10764 	9882 	9624 	9894 	9269 	8462 
PPS,MED_E,DEG3,T,Y_GE18,ES	13949 	13735 	13359 	12624 	12371 	12422 	12439 b	12746 	13417 	14048 	13575 b	10960 	10717 	9790 	9919 	: 
PPS,MED_E,DEG3,T,Y_GE18,EU	15673 e	15365 e	15129 e	14504 e	13716 e	13706 e	13763 e	11953 e	11712 e	11879 e	11677 e	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,EU27	15753 e	15448 e	15219 e	14604 e	13814 e	13803 e	13870 e	12038 e	11790 e	11879 e	11677 e	10238 e	9498 e	9080 e	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,EU28	15673 e	15365 e	15129 e	14504 e	13716 e	13706 e	13763 e	11953 e	11712 e	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,FI	19485 	19283 	18955 	18725 	18342 	18361 	17952 b	17391 	16688 	16591 	16006 	14650 	14253 	13759 	12798 	: 
PPS,MED_E,DEG3,T,Y_GE18,FR	20568 	20369 	20117 	19772 	18969 	18981 	18723 b	17534 	17397 	17219 	17042 b	14623 	14082 	13338 	13059 	: 
PPS,MED_E,DEG3,T,Y_GE18,HR	8824 	8421 	8074 	7399 	7036 	6771 	6810 b	6754 	6770 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,HU	7922 	7531 	7592 	7286 	6915 	6613 	6767 b	6502 	6154 	6271 	6104 	5948 	5422 	5166 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,IE	19573 p	17845 	17243 	17005 	15828 	15470 	15358 b	15434 	15579 	15677 	16114 	15695 	14551 	13175 	12958 	12618 
PPS,MED_E,DEG3,T,Y_GE18,IS	: 	: 	21977 	20853 	20393 	19452 	18253 b	17650 	18196 	20743 	20570 	18666 	17713 	16524 	15865 	: 
PPS,MED_E,DEG3,T,Y_GE18,IT	16086 	15991 	15695 	14871 b	13382 	13828 	14213 	14698 	14339 	14327 	14241 	13207 	12607 	12607 	12079 	: 
PPS,MED_E,DEG3,T,Y_GE18,LT	9035 	8444 	7948 	7184 	6715 	6154 	5724 b	5437 	5346 	6067 	5799 	4863 	3908 	3378 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,LU	34642 	31414 	32344 b	31591 	30769 	31346 	28934 b	27084 	26816 	28067 	26656 	28258 	27224 	29084 	27453 	26559 
PPS,MED_E,DEG3,T,Y_GE18,LV	9172 	7999 	7862 	7467 	6506 	5777 	5480 b	5469 	5300 	6273 	5872 	4678 	3568 	3354 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,MK	: 	5065 	4494 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,MT	: u	: u	: u	: u	11042 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,NL	21753 	21369 	21757 b	19293 	18625 	19212 	19167 b	18974 	20513 	19169 	18475 	16849 	15465 	15978 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,NO	26135 	26026 	27078 	27973 	: 	26477 	25225 b	23470 	22678 	23517 	22618 	20376 	19294 	18591 	18082 	: 
PPS,MED_E,DEG3,T,Y_GE18,PL	10143 	9812 	9566 	8685 	8165 	7952 	7518 b	7437 	6669 	6528 	6042 	5064 	4514 	4232 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,PT	9433 	9574 	9302 	8915 	8862 	8614 	8285 b	8731 	8646 	8562 	8783 	8099 	7665 	7281 	6840 	: 
PPS,MED_E,DEG3,T,Y_GE18,RO	4912 	4183 	3603 	3367 	3208 	3273 	2851 b	3123 	2996 	2829 	2517 	2207 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,RS	4444 	4240 	4000 	3650 	3504 	3814 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,SE	19718 	19120 	20779 	19501 	19415 	19833 	18676 b	17799 	17176 	17750 	17266 b	15822 	15097 	14509 	13928 	: 
PPS,MED_E,DEG3,T,Y_GE18,SI	15462 	14877 	14882 	14749 	13926 	13779 	13852 b	13567 	12823 	13948 	13435 	12572 	11868 	11324 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,SK	10646 	10335 	10281 	10028 	9455 	9349 	9267 b	8532 	7825 	7290 	6343 	5314 	4382 	3780 	: 	: 
PPS,MED_E,DEG3,T,Y_GE18,UK	19135 p	19408 b	19013 	19692 	18834 	18211 	18193 b	17007 	16869 	17621 	19174 	20565 	19033 	17191 	: 	: 
PPS,MED_E,DEG3,T,Y_GE60,AT	21202 	21753 	21819 	20883 	20121 	19378 	19346 b	18083 	17034 	16642 	16356 b	16055 	15166 	15638 	14687 	13155 
PPS,MED_E,DEG3,T,Y_GE60,BE	17872 	16859 	17581 	16171 	15630 	15479 	14180 b	12963 	12196 	12883 	12652 	12977 	11978 	13024 	11246 	10849 
PPS,MED_E,DEG3,T,Y_GE60,BG	5326 	5425 	5124 b	4889 	5214 	4186 	4034 b	4050 	4142 	3697 	3345 	2646 	2578 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE60,CH	24884 	22667 	22881 	22391 	21244 b	19722 	18766 b	17505 	18101 	18161 	16794 	17525 	: 	: 	: 	: 
PPS,MED_E,DEG3,T,Y_GE60,CY	12791 	12382 	12747 	11966 	11928 	13183 	13644 b	12976 	12117 	12018 	12062 b	11613 	9755 	8403 	: 	: 
PPS,MED_E,DEG3,T,Y_GE60,CZ	10963 	10726 	10689 	10150 	9898 	9758 	9110 b	8641 	8330 	7846 	8216 	7668 	7170 	6869 	: 	: 
PPS,MED_E,DEG3,T,Y_GE60,DE	18759 	18122 	18227 	17759 	16875 	16628 	16388 b	15266 	14422 	14714 	14727 	14181 	13488 	13606 	: 	: 
