unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,MED_E,DEG1,F,Y_GE18,LT	7800 	7323 	6701 	6089 	5502 	5461 	5079 b	4441 	4758 	5622 	4813 	3796 	3044 	2498 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,LU	43098 	39780 	37048 b	37452 	37447 	35194 	37029 b	31007 	30889 	29470 	28797 	27618 	27621 	26809 	26067 	24611 
EUR,MED_E,DEG1,F,Y_GE18,LV	7719 	7064 	6653 	6135 	5551 	4977 	4594 b	4435 	4871 	5691 	5219 	3854 	2971 	2363 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,MK	: 	2699 	2577 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,MT	14581 	14375 	13604 	13483 	12796 	12047 	11478 b	10861 	10500 	10585 	10009 	9311 	9184 	8694 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,NL	22939 	22719 	21736 b	20565 	20742 	20272 	19921 b	20583 	20463 	20401 	19724 	18423 	17526 	17218 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,NO	38819 	37773 	38864 	41509 	: 	44211 	41503 b	37921 	33711 	34574 	32695 	29679 	28417 	26196 	27191 	: 
EUR,MED_E,DEG1,F,Y_GE18,PL	7301 	6810 	6844 	6475 	6260 	6023 	5985 b	5900 	5173 	6025 	4935 	4201 	3766 	3026 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,PT	10177 	9880 	9520 	9036 	9079 	9002 	9424 b	9604 	9938 	9501 	9248 	8523 	8466 	8450 	8096 	: 
EUR,MED_E,DEG1,F,Y_GE18,RO	4672 	3772 	3316 	3001 	2955 	2605 	2851 b	2857 	2802 	2946 	2744 	2196 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,RS	3206 	3002 	2982 	3113 	3111 	3108 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,SE	26714 	26327 	25373 	25182 	25942 	25144 	24572 b	21407 	19170 	21787 	21058 b	19961 	19557 	18189 	18130 	: 
EUR,MED_E,DEG1,F,Y_GE18,SI	13433 	12891 	12672 	12674 	12343 	11905 	12621 b	12842 	12460 	12510 	11600 	10946 	9913 	9385 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,SK	8542 	8094 	7868 	7658 	7481 	7458 	7932 b	7222 	7172 	6605 	5369 	4417 	3749 	3053 	: 	: 
EUR,MED_E,DEG1,F,Y_GE18,UK	20770 p	20751 b	20889 	20515 	19932 	18651 	19177 b	16748 	16670 	15957 	18667 	20885 	19047 	18185 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,AT	25064 	25802 	24579 	23873 	23671 	22398 	21536 b	21228 	20868 	19640 	18334 b	18858 	18201 	19216 	17526 	16267 
EUR,MED_E,DEG1,F,Y_GE60,BE	18973 	18943 	18277 	18400 	18123 	17379 	16026 b	16109 	15748 	15717 	14091 	13740 	13162 	12775 	12780 	12246 
EUR,MED_E,DEG1,F,Y_GE60,BG	3367 	3237 	3037 b	3009 	3593 	2890 	2688 b	2927 	2991 	2286 	1896 	1272 	1219 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,CH	37514 	37970 	39827 	35934 	34385 b	35090 	33086 b	29340 	26870 	24248 	24153 	25485 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,CY	14257 	12861 	12255 	12650 	11945 	13654 	13241 b	12551 	12161 	11641 	10669 b	10903 	9823 	8825 	: 	: 
EUR,MED_E,DEG1,F,Y_GE60,CZ	7369 	6851 	6686 	6535 	6959 	7167 	7024 b	6528 	6191 	6232 	5061 	4734 	4164 	3731 	: 	: 
