unit,duration,partner,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N_GE1,DOT,NL	5711909 	5589819 	5579492 	5239625 	5183771 	5377815 	5684702 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,NO	2501959 	2218461 	2225269 	2229734 	2229874 	2290813 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,PL	3355343 	3187942 	2956047 	2937478 	2944592 	1900000 	1770000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,PT	762590 	623773 	610991 	599567 	518534 	437447 	475601 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,RO	49099 	50240 	37062 	52981 	46435 	29023 	4584 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,SE	3569069 	3644169 b	3169261 	3552731 	3206880 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,SI	389484 	358607 	357792 	280162 	319105 e	314512 e	371546 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,SK	1205306 	910571 	658160 	695235 	527938 	409535 b	239279 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,DOT,UK	: 	: 	10517880 	9788100 	10443200 	11120000 	5618000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,AT	: 	1678636 	1741260 	1711778 	1741378 	1537308 	1524633 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,OUT,BE	2721188 	2763075 b	3764342 	3427879 	3664482 	3740856 	2996186 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
